                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                0.36155,                0.83189,                0.34548,                0.67393,                 0.6107,                0.65588,                0.38273,                0.41853,                0.91847,                0.46866,                 0.0001,                 0.0001,                 0.0001
                    114,                 0.3678,                0.79822,                0.34773,                0.68607,                0.60321,                0.65842,                0.38423,                0.42139,                0.90977,                0.47377,                 0.0001,                 0.0001,                 0.0001
                    115,                0.35562,                0.82451,                0.34211,                 0.6824,                0.60104,                0.65962,                0.38529,                0.42063,                0.91133,                0.47386,                 0.0001,                 0.0001,                 0.0001
                    116,                0.36824,                0.80742,                0.35668,                0.68945,                 0.6005,                 0.6606,                0.38511,                0.42257,                0.90851,                0.47723,                 0.0001,                 0.0001,                 0.0001
                    117,                0.35716,                 0.8163,                0.34052,                 0.7335,                0.59721,                0.66857,                0.38957,                0.42267,                0.90299,                0.47871,                 0.0001,                 0.0001,                 0.0001
                    118,                0.35512,                0.81499,                0.33643,                 0.7136,                0.60017,                0.67251,                0.39294,                 0.4248,                 0.8887,                0.48364,                 0.0001,                 0.0001,                 0.0001
                    119,                0.36595,                0.80167,                0.34958,                0.72986,                0.60006,                0.67059,                0.39224,                0.42464,                0.88868,                0.48459,                 0.0001,                 0.0001,                 0.0001
                    120,                0.35246,                 0.8105,                0.34496,                0.68624,                0.60824,                  0.671,                 0.3922,                0.42307,                0.88887,                0.48622,                 0.0001,                 0.0001,                 0.0001
                    121,                  0.362,                0.80326,                0.34993,                0.71016,                0.59662,                0.66881,                0.39085,                0.42075,                0.89094,                0.48475,                 0.0001,                 0.0001,                 0.0001
                    122,                0.35081,                0.81994,                0.33495,                0.66163,                0.60654,                0.66736,                0.38999,                0.42338,                0.88485,                0.49004,                 0.0001,                 0.0001,                 0.0001
                    123,                0.35418,                 0.8116,                0.33654,                 0.7036,                0.60055,                0.66996,                0.39317,                0.42699,                0.87465,                0.49253,                 0.0001,                 0.0001,                 0.0001
                    124,                0.35295,                0.80849,                0.33415,                0.71943,                0.60306,                 0.6721,                0.39474,                 0.4279,                0.87079,                0.49257,                 0.0001,                 0.0001,                 0.0001
                    125,                  0.354,                0.83215,                 0.3398,                0.70879,                0.60516,                0.67279,                0.39527,                0.42741,                0.87112,                0.49103,                 0.0001,                 0.0001,                 0.0001
                    126,                  0.355,                0.80219,                0.34062,                0.71285,                0.60043,                0.67161,                0.39524,                0.42745,                0.87257,                0.49135,                 0.0001,                 0.0001,                 0.0001
                    127,                0.35094,                0.81258,                0.33684,                0.72198,                 0.6063,                0.67378,                0.39591,                0.42644,                0.87062,                0.49126,                 0.0001,                 0.0001,                 0.0001
                    128,                0.34853,                0.81675,                0.33749,                0.72336,                0.59832,                0.67246,                 0.3962,                0.42541,                0.87562,                0.49009,                 0.0001,                 0.0001,                 0.0001
                    129,                0.35727,                0.79476,                0.33606,                0.71645,                0.60054,                0.67017,                0.39339,                0.42586,                0.87714,                0.49369,                 0.0001,                 0.0001,                 0.0001
                    130,                0.35659,                0.79813,                0.33402,                0.72526,                0.60033,                0.67134,                0.39611,                0.42625,                0.87434,                0.49469,                 0.0001,                 0.0001,                 0.0001
                    131,                0.34482,                0.80388,                0.34201,                0.70735,                 0.6039,                0.67271,                0.39664,                0.42675,                0.87173,                0.49649,                 0.0001,                 0.0001,                 0.0001
                    132,                0.35298,                0.78715,                0.33923,                0.71298,                0.59148,                0.67181,                0.39515,                0.42603,                0.87598,                0.49461,                 0.0001,                 0.0001,                 0.0001
                    133,                 0.3524,                0.78879,                0.34209,                0.71079,                0.59389,                 0.6717,                0.39492,                0.42625,                0.87464,                0.49527,                 0.0001,                 0.0001,                 0.0001
                    134,                0.35004,                 0.7871,                0.33349,                0.68115,                0.59738,                0.67081,                0.39517,                0.42568,                0.87694,                0.49389,                 0.0001,                 0.0001,                 0.0001
                    135,                0.35182,                0.79229,                 0.3395,                0.67613,                 0.6033,                0.67184,                0.39698,                0.42777,                0.87006,                0.49916,                 0.0001,                 0.0001,                 0.0001
                    136,                0.34654,                0.78909,                0.33152,                0.67915,                0.61279,                0.67146,                0.39664,                0.42853,                0.86808,                0.50103,                 0.0001,                 0.0001,                 0.0001
                    137,                0.34906,                0.78987,                0.33207,                0.67906,                0.61769,                0.67326,                0.39661,                0.42903,                0.86415,                0.50195,                 0.0001,                 0.0001,                 0.0001
                    138,                0.34918,                0.80941,                0.33837,                 0.6733,                0.61932,                0.67201,                0.39426,                 0.4294,                0.86679,                 0.5015,                 0.0001,                 0.0001,                 0.0001
                    139,                0.34831,                0.77761,                0.33408,                0.66946,                0.61993,                0.67236,                0.39445,                0.42864,                0.86905,                0.50233,                 0.0001,                 0.0001,                 0.0001
                    140,                0.34494,                0.77465,                0.33062,                0.66792,                0.62734,                0.67357,                0.39537,                0.42909,                0.86904,                0.50243,                 0.0001,                 0.0001,                 0.0001
                    141,                0.34705,                 0.7558,                0.34152,                0.66915,                0.64032,                0.67784,                0.39779,                0.43219,                0.85706,                0.50365,                 0.0001,                 0.0001,                 0.0001
                    142,                0.34242,                0.76194,                0.32872,                0.66941,                0.64121,                0.67883,                 0.3986,                0.43266,                0.85193,                0.50587,                 0.0001,                 0.0001,                 0.0001
                    143,                0.34163,                0.77523,                0.32613,                0.67195,                0.64082,                 0.6805,                0.39879,                0.43281,                0.84905,                0.50668,                 0.0001,                 0.0001,                 0.0001
                    144,                 0.3452,                0.77484,                0.33042,                0.67306,                0.63919,                0.68234,                0.39819,                0.43461,                0.84469,                0.50899,                 0.0001,                 0.0001,                 0.0001
                    145,                0.34782,                0.75499,                0.33291,                0.67425,                 0.6266,                0.68429,                0.39823,                0.43461,                0.84394,                0.50913,                 0.0001,                 0.0001,                 0.0001
                    146,                0.33833,                0.76934,                0.32079,                0.67415,                0.63016,                 0.6821,                0.39763,                0.43382,                0.84711,                0.50996,                 0.0001,                 0.0001,                 0.0001
                    147,                0.34231,                0.75931,                0.32515,                0.68031,                0.63089,                0.68093,                0.39725,                0.43129,                0.85439,                0.50397,                 0.0001,                 0.0001,                 0.0001
                    148,                0.34415,                0.76502,                0.32744,                0.67447,                0.62941,                0.68043,                0.39738,                0.42968,                0.86101,                0.49907,                 0.0001,                 0.0001,                 0.0001
                    149,                 0.3501,                0.73283,                0.33927,                0.67858,                0.62948,                0.68075,                0.39711,                0.42984,                0.85852,                0.49905,                 0.0001,                 0.0001,                 0.0001
                    150,                0.34363,                0.75657,                0.32918,                0.69415,                 0.6221,                0.68432,                0.39898,                0.42932,                0.85742,                0.49765,                 0.0001,                 0.0001,                 0.0001
                    151,                0.34195,                0.75388,                   0.33,                0.69472,                0.61685,                0.68661,                0.40075,                0.42842,                0.85668,                0.49616,                 0.0001,                 0.0001,                 0.0001
                    152,                0.33959,                0.76128,                0.32227,                0.68716,                0.63149,                0.68626,                0.40192,                0.42714,                0.85926,                0.49356,                 0.0001,                 0.0001,                 0.0001
                    153,                0.34241,                0.74985,                0.32528,                0.68543,                0.62908,                0.68575,                0.40069,                0.42642,                 0.8602,                0.49411,                 0.0001,                 0.0001,                 0.0001
                    154,                0.34004,                0.74455,                0.32466,                0.67656,                0.63493,                0.68734,                0.40119,                0.42688,                0.85572,                0.49511,                 0.0001,                 0.0001,                 0.0001
